trial_type,vertex,chromo,spatial_act
Stim C3,92,HbO,9.247838803326577e-14
Stim C3,92,HbR,-3.6991355213306314e-14
Stim C3,93,HbO,2.3692927533138577e-13
Stim C3,93,HbR,-9.477171013255431e-14
Stim C3,94,HbO,9.967746402220274e-15
Stim C3,94,HbR,-3.98709856088811e-15
Stim C3,95,HbO,8.42231149675247e-16
Stim C3,95,HbR,-3.3689245987009885e-16
Stim C3,96,HbO,4.898550991675128e-16
Stim C3,96,HbR,-1.9594203966700518e-16
Stim C3,97,HbO,8.767677510372207e-14
Stim C3,97,HbR,-3.507071004148882e-14
Stim C3,98,HbO,2.1294255052565775e-17
Stim C3,98,HbR,-8.51770202102631e-18
Stim C3,99,HbO,1.6907117875598184e-18
Stim C3,99,HbR,-6.762847150239275e-19
Stim C3,100,HbO,6.432258904730654e-16
Stim C3,100,HbR,-2.5729035618922623e-16
Stim C3,101,HbO,2.604047146068341e-21
Stim C3,101,HbR,-1.0416188584273365e-21
Stim C3,102,HbO,1.4767975217424282e-21
Stim C3,102,HbR,-5.907190086969713e-22
Stim C3,103,HbO,3.479943363173439e-22
Stim C3,103,HbR,-1.3919773452693756e-22
Stim C3,104,HbO,1.802682881236523e-21
Stim C3,104,HbR,-7.210731524946094e-22
Stim C3,105,HbO,1.843748019174095e-21
Stim C3,105,HbR,-7.37499207669638e-22
Stim C3,106,HbO,1.7260143721390627e-13
Stim C3,106,HbR,-6.90405748855625e-14
Stim C3,107,HbO,1.515362115015692e-13
Stim C3,107,HbR,-6.061448460062767e-14
Stim C3,108,HbO,2.389512726289143e-13
Stim C3,108,HbR,-9.55805090515657e-14
Stim C3,109,HbO,6.349898554044224e-15
Stim C3,109,HbR,-2.53995942161769e-15
Stim C3,110,HbO,2.904630228302646e-13
Stim C3,110,HbR,-1.161852091321058e-13
Stim C3,111,HbO,4.0482771628286314e-13
Stim C3,111,HbR,-1.6193108651314525e-13
Stim C3,112,HbO,3.184275370953536e-14
Stim C3,112,HbR,-1.2737101483814148e-14
Stim C3,113,HbO,1.3515110852844788e-18
Stim C3,113,HbR,-5.406044341137916e-19
Stim C3,114,HbO,2.5229108735772472e-15
Stim C3,114,HbR,-1.0091643494308988e-15
Stim C3,115,HbO,6.604588027913344e-17
Stim C3,115,HbR,-2.6418352111653382e-17
Stim C3,116,HbO,2.5438083341764272e-17
Stim C3,116,HbR,-1.017523333670571e-17
Stim C3,117,HbO,5.890616526714932e-18
Stim C3,117,HbR,-2.3562466106859737e-18
Stim C3,118,HbO,3.0894113018523617e-19
Stim C3,118,HbR,-1.2357645207409447e-19
Stim C3,119,HbO,2.3648349918956283e-22
Stim C3,119,HbR,-9.459339967582514e-23
Stim C3,120,HbO,2.0657377457683558e-20
Stim C3,120,HbR,-8.262950983073424e-21
Stim C3,121,HbO,1.1193771893950363e-22
Stim C3,121,HbR,-4.477508757580145e-23
Stim C3,122,HbO,1.1031628696907427e-21
Stim C3,122,HbR,-4.41265147876297e-22
Stim C3,123,HbO,3.130134977548153e-13
Stim C3,123,HbR,-1.2520539910192614e-13
Stim C3,124,HbO,3.0646440789962004e-13
Stim C3,124,HbR,-1.22585763159848e-13
Stim C3,125,HbO,4.3443213057532066e-14
Stim C3,125,HbR,-1.7377285223012828e-14
Stim C3,126,HbO,4.0570946817159905e-13
Stim C3,126,HbR,-1.6228378726863965e-13
Stim C3,127,HbO,1.7615889932263565e-14
Stim C3,127,HbR,-7.046355972905427e-15
Stim C3,128,HbO,6.299405998038059e-13
Stim C3,128,HbR,-2.519762399215223e-13
Stim C3,129,HbO,3.677987701835811e-15
Stim C3,129,HbR,-1.4711950807343246e-15
Stim C3,130,HbO,9.785375401923e-13
Stim C3,130,HbR,-3.9141501607691997e-13
Stim C3,131,HbO,2.6378637655215877e-15
Stim C3,131,HbR,-1.0551455062086351e-15
Stim C3,132,HbO,1.5870213504441976e-15
Stim C3,132,HbR,-6.348085401776791e-16
Stim C3,133,HbO,1.1086061280208738e-15
Stim C3,133,HbR,-4.434424512083495e-16
Stim C3,134,HbO,3.6848268610913827e-16
Stim C3,134,HbR,-1.473930744436553e-16
Stim C3,135,HbO,8.237050281510702e-20
Stim C3,135,HbR,-3.294820112604281e-20
Stim C3,136,HbO,6.24009476255709e-17
Stim C3,136,HbR,-2.4960379050228365e-17
Stim C3,137,HbO,1.0136447208042057e-20
Stim C3,137,HbR,-4.054578883216823e-21
Stim C3,138,HbO,8.611955921643667e-18
Stim C3,138,HbR,-3.4447823686574673e-18
Stim C3,139,HbO,2.3422002376092894e-21
Stim C3,139,HbR,-9.36880095043716e-22
Stim C3,140,HbO,2.227393095705709e-21
Stim C3,140,HbR,-8.909572382822836e-22
Stim C3,141,HbO,1.7960113954845887e-22
Stim C3,141,HbR,-7.184045581938353e-23
Stim C3,142,HbO,1.6116854746077297e-22
Stim C3,142,HbR,-6.446741898430918e-23
Stim C3,143,HbO,4.2158475834318473e-23
Stim C3,143,HbR,-1.6863390333727388e-23
